Cluster_name	Count	Max with r1	Max with_r2	Recombinant1	Recombinant2
centroid=F6_LB_8896;seqs=7;size=7;	7	44	34	1	1
centroid=F5_LB_3074;seqs=2;size=6;	6	6	6	0	0
centroid=F2_B2_433;seqs=1;size=1;	1	89	1	1	0
centroid=F5_LH_1833;seqs=1;size=1;	1	4	13	1	1
centroid=F5_LH_3263;seqs=2;size=6;	6	6	6	0	0
centroid=F5_LB_1835;seqs=1;size=4;	4	4	4	0	0
centroid=F6_LH_8491;seqs=1;size=1;	1	1	1	0	0
centroid=F2_H_398;seqs=1;size=1;	1	13	45	1	1
centroid=F1_B1_2364;seqs=21;size=75;	75	75	75	0	0
centroid=F5_LH_2072;seqs=2;size=2;	2	2	3	0	1
centroid=F5_LB_2276;seqs=1;size=1;	1	2	1	1	0
centroid=F6_LB_7134;seqs=1;size=1;	1	35	29	1	1
centroid=F5_LB_322;seqs=1;size=1;	1	1	1	0	0
centroid=F4_LB_1171;seqs=1;size=1;	1	99	70	1	1
centroid=F5_LB_1705;seqs=2;size=5;	5	5	5	0	0
centroid=F2_H_525;seqs=5;size=5;	5	102	5	1	0
centroid=F5_LB_2259;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LB_535;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LB_1703;seqs=2;size=3;	3	3	3	0	0
centroid=F6_LB_1762;seqs=5;size=5;	5	5	55	0	1
centroid=F5_LB_2397;seqs=2;size=9;	9	9	9	0	0
centroid=F5_LB_2213;seqs=7;size=10;	10	10	10	0	0
centroid=F5_LB_1846;seqs=2;size=6;	6	6	6	0	0
centroid=F5_LB_3239;seqs=4;size=10;	10	10	10	0	0
centroid=F6_LH_1355;seqs=1;size=1;	1	39	1	1	0
centroid=F6_LH_7097;seqs=9;size=18;	18	18	18	0	0
centroid=F5_LB_2038;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LH_2067;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_4756;seqs=3;size=3;	3	3	3	0	0
centroid=F5_LH_4212;seqs=6;size=12;	12	12	12	0	0
centroid=F6_LB_6467;seqs=1;size=1;	1	10	1	1	0
centroid=F5_LB_2076;seqs=5;size=12;	12	12	12	0	0
centroid=F2_H_670;seqs=3;size=3;	3	58	3	1	0
centroid=F3_H_1118;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_2638;seqs=1;size=1;	1	8	1	1	0
centroid=F5_LH_2902;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_397;seqs=4;size=4;	4	4	4	0	0
centroid=F5_LH_981;seqs=5;size=8;	8	8	8	0	0
centroid=F2_B2_158;seqs=1;size=1;	1	3	1	1	0
centroid=F6_LH_10482;seqs=2;size=2;	2	100	2	1	0
centroid=F6_LH_7008;seqs=22;size=75;	75	75	75	0	0
